timestamp,linkrate_kbps
0,63.16
1,351.18
2,521.66
3,1379.78
4,1669.74
5,916.00
7,724.47
8,1371.77
9,890.13
10,961.67
11,796.37
12,1191.77
13,740.57
14,1492.33
15,1338.41
16,759.65
17,852.43
18,605.77
19,807.41
21,813.58
22,598.56
23,409.25
24,538.88
25,497.34
26,576.33
27,500.95
28,520.11
29,394.64
30,391.95
31,343.34
32,225.69
33,239.73
34,178.72
35,235.24
36,193.13
37,270.72
38,949.10
39,1108.22
40,1081.55
41,1098.16
42,1200.04
43,934.31
44,878.38
45,1085.70
47,608.09
48,1013.99
49,426.14
50,578.74
51,452.96
52,484.59
53,432.51
54,672.36
55,560.89
56,739.18
57,354.42
58,326.49
59,231.51
60,202.36
61,523.39
63,527.50
64,620.02
65,827.85
66,765.29
67,336.74
68,397.28
69,667.43
70,407.32
71,245.11
72,146.06
73,49.00
74,227.32
75,429.86
76,852.15
77,1123.11
78,715.45
79,1073.08
80,633.95
81,677.82
82,744.11
83,1014.73
84,899.37
85,779.97
86,891.08
87,959.59
88,727.28
89,402.97
90,690.71
91,939.47
92,849.03
93,812.73
94,632.72
95,774.27
96,1098.55
98,925.21
99,636.30
100,375.22
101,244.40
102,893.28
103,957.79
104,930.21
105,704.09
106,737.34
107,724.40
108,694.65
109,609.63
110,608.37
111,504.81
112,418.21
113,234.50
114,126.13
115,242.53
116,314.23
117,238.38
118,214.07
120,311.15
121,312.62
122,236.06
123,311.15
124,214.59
125,230.03
126,389.69
127,450.64
128,297.16
129,321.33
130,548.40
131,651.46
132,547.20
133,513.44
134,567.96
135,378.49
136,273.86
137,293.78
138,268.24
140,207.44
141,426.39
142,418.53
143,483.45
144,664.94
145,585.12
146,367.71
147,407.72
148,270.58
149,365.16
150,271.49
151,444.26
152,574.12
153,403.09
154,455.10
155,312.83
156,371.88
157,343.19
158,300.42
159,336.08
160,412.04
161,943.56
162,484.56
164,520.31
165,545.45
166,650.98
167,704.49
168,693.26
169,520.84
170,799.46
171,794.61
172,548.04
173,435.05
174,595.96
175,504.58
176,442.63
177,690.81
178,684.07
179,856.10
180,653.10
181,725.74
182,445.99
183,403.76
184,284.12
185,199.39
187,95.17
188,160.78
189,398.98
190,499.32
191,774.22
192,640.84
193,572.49
194,409.65
195,890.30
196,562.24
197,818.74
198,589.39
199,822.80
201,754.43
202,720.71
203,890.04
204,815.11
205,670.51
206,197.71
207,415.28
208,956.97
209,1133.25
210,1431.71
211,990.96
212,887.24
213,794.20
214,877.88
215,787.01
216,879.03
217,1202.50
218,892.94
220,983.32
221,1189.27
222,1061.83
223,1271.92
224,1413.73
225,1356.18
226,950.76
227,1374.79
228,888.44
229,1255.20
230,1332.27
231,939.61
232,1192.24
233,1127.01
234,1258.80
235,1147.76
236,885.58
237,1263.66
238,1083.84
240,857.90
241,830.77
242,915.81
243,470.18
244,839.14
245,782.34
246,963.33
247,755.33
248,890.87
249,890.62
250,551.34
251,712.36
252,647.92
253,402.33
254,529.26
255,435.37
256,459.50
257,485.77
258,665.22
259,392.50
260,610.39
261,627.64
262,558.36
263,232.33
266,106.66
267,769.45
268,506.25
269,938.15
270,920.70
271,872.41
272,967.54
273,1051.57
274,1440.13
275,1082.82
276,1044.08
277,1230.25
278,998.65
279,713.64
280,849.14
282,378.96
283,656.79
284,625.35
285,422.80
286,660.30
287,612.50
288,737.93
289,553.07
290,450.85
291,779.58
292,640.06
293,777.16
294,785.82
295,740.20
296,599.35
297,814.14
298,631.24
300,732.18
301,764.13
302,775.41
303,831.44
304,895.83
305,731.30
306,938.67
307,704.58
308,857.81
309,739.26
310,964.43
311,590.49
313,909.01
314,680.19
315,743.19
316,370.09
317,358.12
318,654.15
319,625.42
320,573.92
321,492.67
322,530.58
323,722.26
324,379.25
325,399.91
326,740.07
327,766.88
328,659.83
329,476.87
330,884.54
331,607.92
332,573.68
333,686.79
334,640.06
335,733.05
336,761.35
337,563.82
338,506.83
339,690.72
340,785.45
341,684.66
342,535.95
343,707.25
344,605.06
345,677.44
346,429.59
348,466.39
349,452.19
350,505.20
351,619.87
352,335.56
353,496.24
360,1.34
361,675.53
362,613.57
363,265.63
364,171.50
365,184.93
366,242.03
367,336.74
369,161.63
370,139.19
371,404.15
372,399.58
373,277.60
374,255.87
375,289.69
376,266.95
377,244.38
378,174.17
379,180.63
380,155.20
381,123.89
382,187.08
383,238.17
384,855.01
385,704.82
386,505.77
387,92.65
388,291.04
390,385.55
391,453.30
392,403.02
393,530.42
394,296.02
395,354.07
396,368.78
397,314.96
398,437.32
399,344.68
400,306.71
401,354.38
402,293.20
403,372.24
404,301.04
405,379.62
406,225.66
407,318.49
408,368.41
409,333.28
410,373.94
411,435.63
412,501.38
413,595.46
414,581.94
416,525.93
417,613.29
418,563.33
419,601.45
420,573.73
421,600.19
422,631.56
423,547.30
424,679.79
425,118.72
426,970.87
427,628.07
428,605.51
429,640.38
430,668.88
431,727.53
432,649.19
433,663.89
434,671.02
435,537.16
436,684.44
437,662.95
438,474.71
440,437.24
441,502.86
442,572.53
443,314.55
444,65.42
445,139.09
446,284.12
447,249.65
448,403.76
449,532.90
450,608.05
451,430.89
452,264.81
453,269.16
454,308.43
455,335.97
456,421.52
457,476.57
458,265.89
459,223.71
460,343.95
461,202.52
462,168.37
463,141.87
465,102.28
466,88.34
467,143.46
468,385.86
469,695.56
470,562.97
471,571.67
472,391.61
473,590.39
474,427.43
475,445.68
476,452.74
477,478.86
478,562.02
479,785.29
480,412.52
481,607.40
482,395.54
483,484.65
484,183.67
485,357.98
486,331.76
487,316.67
488,322.20
489,244.79
490,303.40
491,280.02
492,329.61
494,375.29
495,354.84
496,433.10
497,488.79
498,472.09
499,396.59
500,425.23
501,435.79
502,475.62
503,529.14
504,547.20
506,572.05
507,590.56
508,559.34
509,439.57
511,171.67
512,774.93
513,1044.02
514,1082.42
515,951.12
516,363.32
517,400.76
518,396.60
519,362.42
520,441.14
521,919.02
522,813.78
523,824.30
524,968.34
525,599.05
526,265.63
527,130.68
528,626.92
529,919.95
530,618.44
531,717.20
532,886.08
533,724.68
534,609.45
535,677.80
536,1150.69
537,881.28
538,1745.50
539,1541.26
541,1047.09
542,1162.81
543,1195.09
544,1103.24
545,1123.20
546,1167.09
547,550.05
548,210.46
549,263.68
550,385.86
551,596.51
552,700.25
553,691.71
554,588.98
555,176.06
556,658.90
557,597.47
559,392.53
560,482.35
561,315.80
562,402.38
563,422.59
564,305.83
565,371.52
566,305.11
567,356.73
568,482.82
569,312.63
570,312.25
571,363.44
572,422.59
573,179.39
574,220.98
575,241.65
576,396.99
577,330.24
578,327.00
579,265.63
580,153.06
587,1.77
588,28.71
589,901.32
590,1068.39
591,1108.26
592,963.93
593,1048.92
595,748.32
596,1123.18
597,1307.16
598,1100.17
599,887.00
600,897.30
601,1028.32
602,1214.79
603,1008.18
604,1103.87
605,1231.43
606,981.13
607,961.05
608,1086.64
609,983.46
610,1011.67
611,935.21
612,919.65
613,662.72
614,427.11
615,504.43
616,654.45
617,462.34
618,432.18
619,552.51
620,326.32
621,271.72
622,314.23
623,249.22
625,92.00
626,568.52
627,304.62
628,284.26
629,247.24
630,260.06
631,310.98
632,340.44
633,247.20
634,252.07
635,257.19
636,191.23
638,62.01
639,202.67
640,166.71
642,72.64
643,329.69
644,158.61
645,259.71
646,354.07
648,161.95
649,220.98
650,123.89
651,114.33
653,22.92
654,405.33
655,145.97
656,312.39
657,212.64
658,379.25
659,399.37
660,651.46
661,539.48
662,461.82
663,468.14
664,751.06
665,578.04
666,479.00
667,618.45
668,750.42
669,656.21
670,672.67
672,155.18
673,368.78
674,375.53
675,187.99
676,72.96
677,241.03
678,463.90
679,390.08
680,333.71
681,822.90
682,806.86
683,528.26
684,709.25
685,698.69
686,653.39
687,681.21
688,495.84
689,292.30
690,256.00
691,167.72
692,216.50
693,233.66
695,340.67
696,232.27
697,364.23
698,524.34
699,601.77
700,688.31
701,787.18
702,1286.15
703,1142.65
704,1306.38
705,1008.70
706,507.77
707,911.94
708,846.92
709,687.75
710,1045.71
711,1410.99
712,1205.90
713,643.33
714,856.90
716,407.78
717,704.33
718,261.01
719,365.02
720,444.26
721,585.36
722,918.76
723,946.49
724,952.86
725,1336.72
726,1261.96
727,1060.51
728,781.23
729,1106.85
730,1036.65
731,1071.80
732,1088.05
733,1074.18
734,1635.63
735,1593.83
736,1259.67
737,1674.46
738,1418.58
739,825.05
740,1292.29
742,1332.10
743,1321.74
744,1469.09
745,1321.09
746,1215.83
747,1477.56
748,1514.88
749,1475.24
750,1545.49
752,1483.25
753,1886.55
754,1525.15
755,1775.55
756,1405.61
757,1600.88
758,1387.91
759,1218.59
760,1516.12
761,1568.60
762,944.77
763,1099.86
765,1141.17
766,1046.13
767,1146.27
768,1165.10
769,1366.01
770,1210.09
771,1632.24
772,1555.30
773,1504.93
774,1758.24
775,1335.54
776,1170.40
777,1176.99
778,1640.54
779,1577.62
780,1130.56
781,1199.37
783,878.11
784,1504.54
785,1166.71
786,1446.36
787,976.83
788,1150.81
789,1166.67
790,1300.34
791,1188.04
792,1401.27
793,1407.31
794,1319.73
795,1589.82
796,1537.66
797,1962.91
798,1095.79
799,1423.60
800,1685.05
801,1867.82
803,1555.99
804,1625.55
805,1569.41
806,1281.31
807,1444.80
808,1465.93
809,1346.96
810,1830.11
811,1518.86
812,1592.45
813,1394.83
814,974.19
815,1352.92
816,1654.17
818,1345.98
819,1500.00
820,1405.43
821,1157.70
822,1136.39
823,1497.05
824,1510.02
825,1589.67
826,1225.24
827,1087.58
828,1292.23
829,1431.67
830,1407.32
831,1472.99
832,1163.64
833,948.05
834,1137.90
836,953.33
837,802.08
838,1209.74
839,1263.36
840,979.36
841,762.40
842,813.62
843,1173.60
844,972.07
845,789.40
846,1078.67
847,1266.67
848,917.67
849,1175.27
850,1479.90
851,1582.34
852,1178.02
853,1438.15
854,1158.65
855,1438.89
856,1552.21
857,1665.03
859,1146.24
860,1356.23
861,1213.21
862,1251.33
863,1359.52
864,1501.22
865,1244.96
866,1316.35
867,1038.30
868,1235.07
869,1259.61
870,1376.97
871,936.99
872,1016.62
873,1220.97
874,1223.84
875,1054.99
876,1234.27
877,909.75
878,865.98
880,734.79
881,772.67
882,973.57
883,697.90
884,604.84
885,524.26
886,930.64
887,467.35
888,537.62
889,389.35
890,130.55
894,14.73
895,270.62
896,249.30
897,515.35
898,520.63
899,118.09
901,374.40
902,528.41
