timestamp,linkrate_kbps
0,3022.60
1,2231.77
2,1591.74
3,1242.54
4,2668.62
5,2299.55
6,2228.67
7,3371.06
8,3382.16
9,3247.79
10,3248.13
11,3142.80
12,4407.86
13,3230.62
14,3150.18
15,3383.96
16,4218.26
17,3383.83
18,3338.95
19,4170.22
20,3365.93
21,3253.43
22,3307.71
23,3618.39
25,3325.95
26,3826.92
27,1548.71
28,2795.61
29,2783.69
30,3099.69
31,3804.62
32,2762.68
33,3150.17
34,3806.44
35,2767.30
36,3180.67
37,4517.40
38,2945.41
39,3687.13
40,2892.33
41,3676.89
42,4150.07
44,3563.21
45,3373.55
46,3521.66
47,4246.32
48,3181.00
49,2614.47
50,3261.72
51,3508.22
52,4160.38
53,2615.78
54,2332.88
55,3596.00
56,3632.52
57,2414.90
58,2272.50
59,3052.27
60,3638.82
61,3823.28
62,3077.62
64,3222.84
65,3384.47
66,3443.58
67,3880.08
68,4278.01
69,4355.49
70,3411.52
71,3346.96
72,3537.45
73,3912.58
74,3230.77
75,3277.30
76,3558.07
77,4627.24
78,3135.61
79,4076.04
80,4121.41
81,3105.89
82,4145.29
83,3282.58
85,2994.78
86,3193.71
87,3189.58
88,4277.32
89,3897.64
90,3750.43
91,2867.38
92,3552.01
93,4504.42
94,3199.07
95,3187.68
96,2839.92
97,2619.66
98,2574.44
99,2591.01
100,2431.59
101,3224.67
102,3842.49
103,3464.83
104,4076.40
106,2892.92
107,2911.46
108,4552.34
109,2905.10
110,3819.90
111,3613.67
112,1214.71
113,6192.41
114,2416.35
115,2468.21
117,2400.99
118,2945.38
119,3304.35
120,3355.91
121,4010.14
122,4223.73
123,4312.21
124,3754.91
125,3485.03
126,2711.16
127,2760.36
128,3465.79
129,3677.94
130,3134.71
131,3074.50
132,3450.65
133,3377.66
134,2920.14
135,3579.46
136,3738.01
137,3680.16
138,1404.63
139,2689.53
140,2438.69
141,2662.98
142,2587.85
143,3711.46
144,3706.24
145,4471.32
146,4215.52
148,3607.92
149,4011.48
150,4273.67
151,3924.52
152,3383.41
153,4017.43
154,3381.03
155,3578.92
156,3520.66
157,3907.97
158,2571.44
159,4985.48
160,4294.59
161,3579.01
162,4242.37
163,4291.58
164,4374.03
165,3586.93
166,4458.16
167,4608.80
168,4385.19
169,3585.56
170,3764.84
